volcano,volcanoLabel,elevation,country,countryLabel,coord,mountainRange,mountainRangeLabel
http://www.wikidata.org/entity/Q31454785,Mount Ōtaira,616,http://www.wikidata.org/entity/Q17,Япония,Point(139.6883 33.12554),,
http://www.wikidata.org/entity/Q2072520,Вулкан Заварицкого,614,http://www.wikidata.org/entity/Q159,Россия,Point(151.95 46.916666666),http://www.wikidata.org/entity/Q2372442,Большая Курильская гряда
http://www.wikidata.org/entity/Q2072520,Вулкан Заварицкого,614,http://www.wikidata.org/entity/Q159,Россия,Point(151.95 46.916666666),http://www.wikidata.org/entity/Q31628574,Хребет Олений
http://www.wikidata.org/entity/Q1789130,Адагдак,610,http://www.wikidata.org/entity/Q30,США,Point(-176.586388888 51.989444444),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q1083948,Mount Serua,608,http://www.wikidata.org/entity/Q252,Индонезия,Point(130.0 -6.3),,
http://www.wikidata.org/entity/Q31443965,Hibochiboc Volcano,607,http://www.wikidata.org/entity/Q928,Филиппины,Point(124.670277777 9.204166666),,
http://www.wikidata.org/entity/Q21831968,Cono Truncado,605,http://www.wikidata.org/entity/Q414,Аргентина,Point(-69.433333333 -48.533333333),,
http://www.wikidata.org/entity/Q123411979,Q123411979,592,http://www.wikidata.org/entity/Q38,Италия,Point(11.99392 36.78881),,
http://www.wikidata.org/entity/Q3327565,Pico do Cabugi,590,http://www.wikidata.org/entity/Q155,Бразилия,Point(-36.32083333 -5.70611111),,
http://www.wikidata.org/entity/Q1622310,Hochsimmer,587.9,http://www.wikidata.org/entity/Q183,Германия,Point(7.19889 50.3603),http://www.wikidata.org/entity/Q666046,вулканический район Айфель
http://www.wikidata.org/entity/Q31449990,Cerro La Batea,586,http://www.wikidata.org/entity/Q96,Мексика,Point(-102.153333333 19.129722222),,
http://www.wikidata.org/entity/Q31454883,Mount Fiamoe,585,http://www.wikidata.org/entity/Q683,Самоа,Point(-171.798888888 -13.923611111),,
http://www.wikidata.org/entity/Q23878791,Volcán La Cumbre,582,http://www.wikidata.org/entity/Q736,Эквадор,Point(-91.539444444 -0.371388888),,
http://www.wikidata.org/entity/Q11479422,Mount Sukumo,581,http://www.wikidata.org/entity/Q17,Япония,Point(139.037222222 35.005),,
http://www.wikidata.org/entity/Q13425731,Kuttara,581,http://www.wikidata.org/entity/Q17,Япония,Point(141.163333 42.488889),,
http://www.wikidata.org/entity/Q11434371,Mount Ōmuro,580,http://www.wikidata.org/entity/Q17,Япония,Point(139.094444444 34.904166666),,
http://www.wikidata.org/entity/Q1424776,Gänsehals,575.3,http://www.wikidata.org/entity/Q183,Германия,Point(7.20464 50.3968),http://www.wikidata.org/entity/Q897168,Высокий Эйфель
http://www.wikidata.org/entity/Q10871808,Mount Tenjō,571.8,http://www.wikidata.org/entity/Q17,Япония,Point(139.15294444 34.21919444),,
http://www.wikidata.org/entity/Q31639874,Monte Gibele,566,http://www.wikidata.org/entity/Q38,Италия,Point(12.01332 36.77667),,
http://www.wikidata.org/entity/Q335279,Þeistareykir,564,http://www.wikidata.org/entity/Q189,Исландия,Point(-16.84 65.88),,
http://www.wikidata.org/entity/Q1622342,Hochstein,563,http://www.wikidata.org/entity/Q183,Германия,Point(7.21917 50.3717),http://www.wikidata.org/entity/Q666046,вулканический район Айфель
http://www.wikidata.org/entity/Q642114,Arens-Berg,561.3,http://www.wikidata.org/entity/Q183,Германия,Point(6.73129 50.2886),http://www.wikidata.org/entity/Q666046,вулканический район Айфель
