constellation,constellationLabel,area,abbreviation,neighborConstellationsLabel
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,Феникс
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Волопас
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Дракон
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Жираф
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Лев
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Волосы Вероники
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Малый Лев
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Рысь
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,Гончие Псы
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,Дракон
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,Пегас
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,Ящерица
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,Цефей
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,Лира
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,Лисичка
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,Рак
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,Орион
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,Малый Пёс
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,Единорог
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,Рысь
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,Возничий
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,Телец
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Голубь
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Единорог
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Киль
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Компас
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Живописец
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Паруса
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Большой Пёс
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,Гидра
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,Скорпион
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,Южная Корона
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,Южный Треугольник
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,Райская Птица
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,Павлин
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,Телескоп
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,Наугольник
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,Рыбы
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,Пегас
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,Ящерица
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,Кассиопея
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,Персей
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,Треугольник
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,Дева
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,Лев
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,Ворон
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,Секстант
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,Гидра
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,Волопас
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,Дева
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,Лев
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,Большая Медведица
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,Гончие Псы
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,Кит
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,Печь
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,Южная Рыба
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,Феникс
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,Журавль
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,Водолей
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,Золотая Рыба
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,Южная Гидра
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,Летучая Рыба
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,Хамелеон
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,Октант
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,Пегас
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,Малый Конь
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,Стрела
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,Лисичка
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,Водолей
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,Орёл
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,Рак
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,Близнецы
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,Единорог
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,Гидра
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,Рак
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,Лев
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,Большая Медведица
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,Рысь
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,Волопас
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,Змея
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,Геркулес
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,Скульптор
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,Микроскоп
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,Козерог
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,Журавль
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,Водолей
