star,starLabel,constellation,constellationLabel,starTypeLabel
http://www.wikidata.org/entity/Q83615384,[H97b] 1047,http://www.wikidata.org/entity/Q78241173,Parenago 2296,переменная звезда
http://www.wikidata.org/entity/Q83615828,[H97b] 21120,http://www.wikidata.org/entity/Q67622132,[AD95] 385,переменная звезда
http://www.wikidata.org/entity/Q83617173,NSV 16230,http://www.wikidata.org/entity/Q1045078,NGC 1746,переменная звезда
http://www.wikidata.org/entity/Q83620986,OGLE LMC-SC8 224909,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q83621203,OGLE LMC-RCB-15,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,переменная звезда
http://www.wikidata.org/entity/Q83670245,V794 Персея,http://www.wikidata.org/entity/Q13729,Messier 34,переменная звезда
http://www.wikidata.org/entity/Q83688444,[CBH2015] V1387,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688482,[CBH2015] V58,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688606,[CBH2015] V108,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688675,Cl* NGC 2099 HGH V166,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688678,[CBH2015] V1288,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688726,[CBH2015] V1133,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688853,Cl* NGC 2099 HGH V155,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688869,[CBH2015] V896,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688874,[CBH2015] V278,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688961,[CBH2015] V847,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688975,[CBH2015] V705,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83688996,[CBH2015] V1114,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689005,[CBH2015] V497,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689007,[CBH2015] V1316,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689014,[CBH2015] V854,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689015,Cl* NGC 2099 HGH V281,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689060,[CBH2015] V535,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689144,[CBH2015] V1448,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689167,[CBH2015] V437,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689190,[CBH2015] V1307,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689197,[CBH2015] V652,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689216,[CBH2015] V1086,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689231,[CBH2015] V147,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689233,[CBH2015] V988,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689243,[CBH2015] V681,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689269,[CBH2015] V868,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689282,[CBH2015] V1045,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689288,[CBH2015] V1377,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689368,[CBH2015] V168,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689386,[CBH2015] V927,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689431,[CBH2015] V593,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689466,[CBH2015] V1233,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689502,[CBH2015] V1353,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689519,[CBH2015] V874,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689571,[CBH2015] V950,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689592,[CBH2015] V25,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689606,[CBH2015] V1101,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689644,[CBH2015] V336,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689670,Cl* NGC 2099 HGH V514,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689755,[CBH2015] V42,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689759,Cl* NGC 2099 HGH V1143,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689765,[CBH2015] V1098,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689775,[CBH2015] V1408,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689786,Cl* NGC 2099 HGH V973,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689812,[CBH2015] V679,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689823,[CBH2015] V1082,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689845,[CBH2015] V967,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689871,[CBH2015] V689,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689880,[CBH2015] V236,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689915,[CBH2015] V1306,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689918,[CBH2015] V1057,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689950,[CBH2015] V50,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83689982,[CBH2015] V623,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690042,[CBH2015] V1211,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
http://www.wikidata.org/entity/Q83690059,[CBH2015] V507,http://www.wikidata.org/entity/Q13878,Messier 37,переменная звезда
