star,starLabel,constellation,constellationLabel,starType,starTypeLabel
http://www.wikidata.org/entity/Q2426789,UX Тельца,http://www.wikidata.org/entity/Q932065,Молекулярное Облако Тельца,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q954716,Альгениб,http://www.wikidata.org/entity/Q1323318,Большой квадрат,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q14020,эта Волопаса,http://www.wikidata.org/entity/Q8667,Волопас,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q13411,Везен,http://www.wikidata.org/entity/Q84278979,Collinder 121,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q1068388,дзета Змееносца,http://www.wikidata.org/entity/Q10939524,Right Wall of the Heavenly Market Enclosure,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q93587087,V403 Персея,http://www.wikidata.org/entity/Q33571,Q33571,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q13327,гамма Лебедя,http://www.wikidata.org/entity/Q3698087,Северный крест,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q2243014,TX Рака,http://www.wikidata.org/entity/Q13760,Ясли,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q3780943,Q3780943,http://www.wikidata.org/entity/Q93397366,HR 1833 Cluster,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q1327846,Струве 2398 A,http://www.wikidata.org/entity/Q87772268,Струве 2398,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q12170,Альдебаран,http://www.wikidata.org/entity/Q88540091,Альдебаран,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q14198,Виндемиатрикс,http://www.wikidata.org/entity/Q10941555,Left Wall of the Supreme Palace Enclosure,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q546708,S Андромеды,http://www.wikidata.org/entity/Q2469,Галактика Андромеды,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q95031356,Q95031356,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q185653,EX Волка,http://www.wikidata.org/entity/Q45059,OB-ассоциация Скорпиона-Центавра,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q74702309,Q74702309,http://www.wikidata.org/entity/Q49957,Большое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q86355428,Q86355428,http://www.wikidata.org/entity/Q650713,Q650713,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79510334,Q79510334,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q56257212,Z Золотой Рыбы,http://www.wikidata.org/entity/Q23306973,NGC 2070,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79500433,Q79500433,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q78437531,Stephenson 2-18,http://www.wikidata.org/entity/Q5178054,Стивенсон 2,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75730312,V510 Парусов,http://www.wikidata.org/entity/Q840010,Q840010,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q75159358,Q75159358,http://www.wikidata.org/entity/Q67861217,Q67861217,http://www.wikidata.org/entity/Q6243,переменная звезда
http://www.wikidata.org/entity/Q83734926,Q83734926,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79493985,Q79493985,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83736278,Q83736278,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83736579,Q83736579,http://www.wikidata.org/entity/Q13724,галактика Треугольника,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q75103893,Q75103893,http://www.wikidata.org/entity/Q32889,карликовая галактика в созвездии Скульптор,http://www.wikidata.org/entity/Q6243,переменная звезда
