star,starLabel,constellation
http://www.wikidata.org/entity/Q5178512,Q5178512,http://www.wikidata.org/entity/Q1049735
http://www.wikidata.org/entity/Q5396188,G 21-15,http://www.wikidata.org/entity/Q84437543
http://www.wikidata.org/entity/Q5573972,AT Микроскопа,http://www.wikidata.org/entity/Q1014842
http://www.wikidata.org/entity/Q5629286,HD 134687,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q5629292,Q5629292,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q5652700,5 Малой Медведицы,http://www.wikidata.org/entity/Q7058862
http://www.wikidata.org/entity/Q5653615,AF Зайца,http://www.wikidata.org/entity/Q1014842
http://www.wikidata.org/entity/Q5715743,BM Скорпиона,http://www.wikidata.org/entity/Q11225
http://www.wikidata.org/entity/Q5797091,DG Тельца,http://www.wikidata.org/entity/Q932065
http://www.wikidata.org/entity/Q5816554,EZ Мухи,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q5880926,Глизе 625,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q5890564,Q5890564,http://www.wikidata.org/entity/Q45059
http://www.wikidata.org/entity/Q5890564,Q5890564,http://www.wikidata.org/entity/Q67856751
http://www.wikidata.org/entity/Q5931015,хи¹ Печи,http://www.wikidata.org/entity/Q93943754
http://www.wikidata.org/entity/Q5957540,KZ Андромеды,http://www.wikidata.org/entity/Q1049735
http://www.wikidata.org/entity/Q5958030,Q5958030,http://www.wikidata.org/entity/Q5175138
http://www.wikidata.org/entity/Q5988414,MT Пегаса,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q6145893,тета¹ Тельца,http://www.wikidata.org/entity/Q13511
http://www.wikidata.org/entity/Q6145893,тета¹ Тельца,http://www.wikidata.org/entity/Q1151577
http://www.wikidata.org/entity/Q6158339,V856 Скорпиона,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q6314837,каппа¹ Волка,http://www.wikidata.org/entity/Q66477153
http://www.wikidata.org/entity/Q6505196,V951 Скорпиона,http://www.wikidata.org/entity/Q11234
http://www.wikidata.org/entity/Q6700174,HR Волка,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q6815791,Q6815791,http://www.wikidata.org/entity/Q7213904
http://www.wikidata.org/entity/Q6829258,Q6829258,http://www.wikidata.org/entity/Q84980019
http://www.wikidata.org/entity/Q6844257,8 Волос Вероники,http://www.wikidata.org/entity/Q84275359
http://www.wikidata.org/entity/Q6844338,22 Волос Вероники,http://www.wikidata.org/entity/Q84275359
http://www.wikidata.org/entity/Q6850880,V828 Центавра,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q6850919,V824 Центавра,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q6855372,Q6855372,http://www.wikidata.org/entity/Q68731041
http://www.wikidata.org/entity/Q6865722,Q6865722,http://www.wikidata.org/entity/Q107370491
http://www.wikidata.org/entity/Q6867366,Q6867366,http://www.wikidata.org/entity/Q67856749
http://www.wikidata.org/entity/Q6867848,Q6867848,http://www.wikidata.org/entity/Q67856749
http://www.wikidata.org/entity/Q6871328,Q6871328,http://www.wikidata.org/entity/Q11234
http://www.wikidata.org/entity/Q6872354,Q6872354,http://www.wikidata.org/entity/Q67856751
http://www.wikidata.org/entity/Q6872406,Q6872406,http://www.wikidata.org/entity/Q67856751
http://www.wikidata.org/entity/Q6872470,Q6872470,http://www.wikidata.org/entity/Q67856751
http://www.wikidata.org/entity/Q6873321,Q6873321,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q6873468,Q6873468,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q6873605,Q6873605,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q6873821,Q6873821,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q6874005,Q6874005,http://www.wikidata.org/entity/Q84275359
http://www.wikidata.org/entity/Q7181496,фи² Волка,http://www.wikidata.org/entity/Q67856755
http://www.wikidata.org/entity/Q7268927,Q7268927,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q7320793,Q7320793,http://www.wikidata.org/entity/Q982779
http://www.wikidata.org/entity/Q7486319,Q7486319,http://www.wikidata.org/entity/Q136542320
http://www.wikidata.org/entity/Q7672677,T Скорпиона,http://www.wikidata.org/entity/Q14021
http://www.wikidata.org/entity/Q8179553,59 Дракона,http://www.wikidata.org/entity/Q1195678
http://www.wikidata.org/entity/Q8214206,RU Волка,http://www.wikidata.org/entity/Q85233666
http://www.wikidata.org/entity/Q8804384,Q8804384,http://www.wikidata.org/entity/Q13423
http://www.wikidata.org/entity/Q8963253,GM Возничего,http://www.wikidata.org/entity/Q932065
http://www.wikidata.org/entity/Q9360639,Tr16-244,http://www.wikidata.org/entity/Q9361909
http://www.wikidata.org/entity/Q9550030,Q9550030,http://www.wikidata.org/entity/Q75730274
http://www.wikidata.org/entity/Q9550844,281 Centauri,http://www.wikidata.org/entity/Q4636483
http://www.wikidata.org/entity/Q9551729,Q9551729,http://www.wikidata.org/entity/Q19610356
http://www.wikidata.org/entity/Q9607731,Q9607731,http://www.wikidata.org/entity/Q13177
http://www.wikidata.org/entity/Q9655827,Beta2 Cygni,http://www.wikidata.org/entity/Q67622059
http://www.wikidata.org/entity/Q9745928,хи³ Печи,http://www.wikidata.org/entity/Q93943754
http://www.wikidata.org/entity/Q10273376,эпсилон² Лиры A,http://www.wikidata.org/entity/Q75821643
http://www.wikidata.org/entity/Q10293384,Q10293384,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q3781369,Q3781369,http://www.wikidata.org/entity/Q66632504
http://www.wikidata.org/entity/Q3781373,Q3781373,http://www.wikidata.org/entity/Q66491222
http://www.wikidata.org/entity/Q3781391,Q3781391,http://www.wikidata.org/entity/Q66477136
http://www.wikidata.org/entity/Q3781419,V378 Кормы,http://www.wikidata.org/entity/Q13942
http://www.wikidata.org/entity/Q3781446,Q3781446,http://www.wikidata.org/entity/Q921371
http://www.wikidata.org/entity/Q3781453,Q3781453,http://www.wikidata.org/entity/Q921371
http://www.wikidata.org/entity/Q3781482,Q3781482,http://www.wikidata.org/entity/Q66491223
http://www.wikidata.org/entity/Q3781518,Q3781518,http://www.wikidata.org/entity/Q745008
http://www.wikidata.org/entity/Q3781530,Q3781530,http://www.wikidata.org/entity/Q66477150
http://www.wikidata.org/entity/Q3781540,V460 Киля,http://www.wikidata.org/entity/Q745008
http://www.wikidata.org/entity/Q3781557,Q3781557,http://www.wikidata.org/entity/Q66639012
http://www.wikidata.org/entity/Q3781565,V375 Киля,http://www.wikidata.org/entity/Q745008
http://www.wikidata.org/entity/Q3781590,Q3781590,http://www.wikidata.org/entity/Q1049647
http://www.wikidata.org/entity/Q3781603,Q3781603,http://www.wikidata.org/entity/Q1049647
http://www.wikidata.org/entity/Q3781644,Q3781644,http://www.wikidata.org/entity/Q66477124
http://www.wikidata.org/entity/Q3781680,NZ Парусов,http://www.wikidata.org/entity/Q915499
http://www.wikidata.org/entity/Q3781696,Q3781696,http://www.wikidata.org/entity/Q915499
http://www.wikidata.org/entity/Q3781708,Q3781708,http://www.wikidata.org/entity/Q94209798
http://www.wikidata.org/entity/Q3781906,Q3781906,http://www.wikidata.org/entity/Q75730274
http://www.wikidata.org/entity/Q3781922,Q3781922,http://www.wikidata.org/entity/Q50050
http://www.wikidata.org/entity/Q3781932,Q3781932,http://www.wikidata.org/entity/Q50050
http://www.wikidata.org/entity/Q3781933,QZ Киля,http://www.wikidata.org/entity/Q66477177
http://www.wikidata.org/entity/Q3781940,Q3781940,http://www.wikidata.org/entity/Q50050
http://www.wikidata.org/entity/Q3781941,Q3781941,http://www.wikidata.org/entity/Q50050
http://www.wikidata.org/entity/Q3781948,Q3781948,http://www.wikidata.org/entity/Q50050
http://www.wikidata.org/entity/Q3781956,Q3781956,http://www.wikidata.org/entity/Q66477129
http://www.wikidata.org/entity/Q3781981,Q3781981,http://www.wikidata.org/entity/Q372496
http://www.wikidata.org/entity/Q3781982,Q3781982,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q3781992,Q3781992,http://www.wikidata.org/entity/Q85582419
http://www.wikidata.org/entity/Q3805453,MV Парусов,http://www.wikidata.org/entity/Q66477126
http://www.wikidata.org/entity/Q3825907,CU Хамелеона,http://www.wikidata.org/entity/Q86073859
http://www.wikidata.org/entity/Q3826290,Lambda Orionis B,http://www.wikidata.org/entity/Q14219
http://www.wikidata.org/entity/Q3854274,Мельник 42,http://www.wikidata.org/entity/Q49957
http://www.wikidata.org/entity/Q3901779,Q3901779,http://www.wikidata.org/entity/Q5097291
http://www.wikidata.org/entity/Q3901782,пи² Ориона,http://www.wikidata.org/entity/Q2091821
http://www.wikidata.org/entity/Q3908631,каппа Дракона,http://www.wikidata.org/entity/Q11000041
http://www.wikidata.org/entity/Q3928393,RT Киля,http://www.wikidata.org/entity/Q9361908
http://www.wikidata.org/entity/Q4002407,UV Кита,http://www.wikidata.org/entity/Q494595
http://www.wikidata.org/entity/Q4006269,Upsilon Carinae B,http://www.wikidata.org/entity/Q2561416
http://www.wikidata.org/entity/Q4009069,Q4009069,http://www.wikidata.org/entity/Q67856751
http://www.wikidata.org/entity/Q4009100,RY Тельца,http://www.wikidata.org/entity/Q932065
http://www.wikidata.org/entity/Q4024300,дзета⁴ Весов,http://www.wikidata.org/entity/Q78886379
http://www.wikidata.org/entity/Q4033050,AP Голубя,http://www.wikidata.org/entity/Q80500118
http://www.wikidata.org/entity/Q4039151,GJ 3323,http://www.wikidata.org/entity/Q13511
http://www.wikidata.org/entity/Q4039804,Q4039804,http://www.wikidata.org/entity/Q78863389
http://www.wikidata.org/entity/Q4039833,KR Мухи,http://www.wikidata.org/entity/Q67856760
http://www.wikidata.org/entity/Q4039871,Q4039871,http://www.wikidata.org/entity/Q66491550
http://www.wikidata.org/entity/Q4039970,HIP 57050,http://www.wikidata.org/entity/Q77835575
http://www.wikidata.org/entity/Q4040284,HN Пегаса,http://www.wikidata.org/entity/Q2253769
http://www.wikidata.org/entity/Q4040284,HN Пегаса,http://www.wikidata.org/entity/Q77839146
http://www.wikidata.org/entity/Q4040284,HN Пегаса,http://www.wikidata.org/entity/Q78607267
http://www.wikidata.org/entity/Q4040284,HN Пегаса,http://www.wikidata.org/entity/Q80500118
http://www.wikidata.org/entity/Q4041982,V582 Единорога,http://www.wikidata.org/entity/Q226134
http://www.wikidata.org/entity/Q4041998,Q4041998,http://www.wikidata.org/entity/Q1348576
http://www.wikidata.org/entity/Q4042482,LO Пегаса,http://www.wikidata.org/entity/Q94879
http://www.wikidata.org/entity/Q4044885,NGC 4349-127,http://www.wikidata.org/entity/Q946222
http://www.wikidata.org/entity/Q4121458,омикрон Геркулеса,http://www.wikidata.org/entity/Q10939525
http://www.wikidata.org/entity/Q4215974,ипсилон Дракона,http://www.wikidata.org/entity/Q7213904
http://www.wikidata.org/entity/Q4261563,Q4261563,http://www.wikidata.org/entity/Q85016846
http://www.wikidata.org/entity/Q4302051,Q4302051,http://www.wikidata.org/entity/Q329182
http://www.wikidata.org/entity/Q4405193,ро¹ Овна,http://www.wikidata.org/entity/Q10584
http://www.wikidata.org/entity/Q4547329,111 Тельца,http://www.wikidata.org/entity/Q89270387
http://www.wikidata.org/entity/Q4548691,12 Волос Вероники,http://www.wikidata.org/entity/Q84275359
http://www.wikidata.org/entity/Q4549931,14 Волос Вероники,http://www.wikidata.org/entity/Q84275359
http://www.wikidata.org/entity/Q4552046,16 Волос Вероники,http://www.wikidata.org/entity/Q84275359
http://www.wikidata.org/entity/Q4631302,22 Жирафа,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q4631321,22 Скорпиона,http://www.wikidata.org/entity/Q67856751
http://www.wikidata.org/entity/Q4632888,29 Жирафа,http://www.wikidata.org/entity/Q83618870
http://www.wikidata.org/entity/Q4632901,29 Персея,http://www.wikidata.org/entity/Q1072618
http://www.wikidata.org/entity/Q4632901,29 Персея,http://www.wikidata.org/entity/Q67856749
http://www.wikidata.org/entity/Q4634520,30 Персея,http://www.wikidata.org/entity/Q67856749
http://www.wikidata.org/entity/Q4635378,34 Персея,http://www.wikidata.org/entity/Q1072618
http://www.wikidata.org/entity/Q4643833,7 Жирафа,http://www.wikidata.org/entity/Q76497845
http://www.wikidata.org/entity/Q4835751,Q4835751,http://www.wikidata.org/entity/Q224145
http://www.wikidata.org/entity/Q5015089,Q5015089,http://www.wikidata.org/entity/Q921371
http://www.wikidata.org/entity/Q5097375,NGC 3603-B,http://www.wikidata.org/entity/Q5097430
http://www.wikidata.org/entity/Q5097383,NGC 3603-C,http://www.wikidata.org/entity/Q78299399
